,Area,Mean,Min,Max,Angle,Length

1,85.32991656,92.02194,37.619829,129.446829,0.0,84.16278
2,1474.703808822,60.87052800000001,40.916880000000006,129.586365,179.376,1470.934647

3,103.0135887648,144.6096768,63.5307516,169.6887132,1.685,102.0506436
4,1897.25002351056,76.110708,40.2837996,168.7870416,179.184,1896.3169716

5,115.01975193599998,127.714816,56.705648,172.917104,3.013,114.167408
6,1849.3195071999999,75.703392,35.546896,173.916768,178.977,1848.4544159999998

7,121.38702882350002,142.165282,56.1014485,178.0976,2.862,120.34198549999999
8,1848.8931879405002,81.488106,44.018569,177.7728255,179.533,1845.003778

9,115.36648308100001,141.7233435,61.1167845,177.2024075,-4.514,114.536711
10,1830.8122898775,80.53500600000001,41.1492885,176.0765,176.606,1827.1023475000002

11,124.95382295935998,134.806848,24.5578032,181.53686799999997,1.397,123.50893519999998
12,1772.5329847353598,78.0936128,43.0534696,180.7507824,179.609,1764.7909399999996

13,113.70217340656004,127.90580080000002,45.447605,184.22610780000002,1.507,113.39439680000001
14,1700.5873446564003,80.56505800000001,40.510400000000004,182.29680000000002,179.3,1709.3992638000002

15,131.08235504455,135.6790786,32.1950356,187.6348825,3.991,129.850539
16,1657.6866535469499,80.07561249999999,47.077408299999995,186.3536727,-177.174,1649.8226185999997

17,121.87061368776001,125.8700625,39.880799700000004,186.76941060000001,-7.125,120.86993190000001
18,1590.3118109489403,84.7956642,41.5996407,187.7099781,177.947,1590.1780053

19,128.98099430968,136.4241154,32.594044000000004,188.81638360000002,5.44,127.05388920000001
20,1554.82234877492,78.8695016,30.842320000000004,183.6562838,-179.554,1547.9431024000003

21,130.545190215,116.88175499999998,27.007239,181.87923899999998,0.0,129.270081
22,1386.7905496409996,67.570797,17.504120999999998,180.684,179.751,1382.902995

23,139.80988438452002,119.48335619999999,24.1564764,185.20500719999998,5.042,137.42071919999998
24,1360.6122442809599,66.6132252,23.7081336,184.9837566,-178.719,1351.1080451999999

25,141.267509568,98.86199040000001,25.286860800000003,185.56525440000001,1.614,141.19280640000002
26,1248.68558969856,66.5285616,26.193844800000004,180.4178448,0.0,1255.3253424

27,137.0117494168,114.59219159999999,35.210119999999996,187.83668519999998,0.83,137.0239412
28,1190.7230076816,67.301204,33.6565572,187.6736616,-177.816,1198.2152715999998

29,137.15305830974003,111.2705847,34.9504757,186.9105475,8.842,136.2033515
30,1145.9241385826901,80.41654510000001,26.8190982,186.8216395,2.289,1148.3787002000001

31,141.48928755325002,108.4592483,22.5277,185.3085,0.0,140.7458026
32,1065.15332536509,81.39548690000001,22.4361358,183.1284,-179.517,1066.1146821

33,148.54391807805,109.02317339999999,36.659352299999995,188.74219829999998,4.667,147.75949020000002
34,964.53184835115,77.06095619999999,27.892258499999997,187.2612,-178.389,962.1428439

35,133.48823829623998,104.28830219999999,49.9621704,179.41224259999998,3.9,132.54924
36,874.19786714864,84.297223,17.582889599999998,177.8616,-175.253,871.5804214

37,141.40227308256,115.8521256,35.0339724,196.61699399999998,1.219,140.73456
38,891.23171996304,89.4173796,47.016,197.98986119999998,-178.27,892.5227507999999

39,353.64520091648,160.4047104,42.39065600000001,303.73587200000003,1.245,220.17050880000002
40,1918.33564606464,124.88847360000001,30.3185344,303.98720000000003,-179.087,1201.2317504

41,124.20207417600001,113.822226,59.2836,192.186306,-3.434,136.285224
42,622.655335332,89.890854,23.104602,192.786,179.318,685.691034

43,77.06591683559999,147.58355039999998,27.653894399999995,211.6865718,-5.247,150.64549499999998
44,418.6564304274,96.2320656,14.758187399999999,212.1081864,177.111,819.9993251999999

45,702.87098885226,226.2355806,55.3384479,416.7831468,2.203,330.31959570000004
46,2690.60767427844,189.4117695,90.4035,418.5961479,-179.427,1269.5823741

47,98.58419955363,128.66801220000002,14.7390187,200.12894090000003,-6.789,157.7934113
48,417.53227505122,95.1863073,18.1967674,198.80280000000002,172.974,670.9594500000001

49,384.42717015298007,164.6590217,48.063619800000005,322.426466,-4.236,249.46927230000003
50,1349.0332221213002,179.70947650000002,38.95933660000001,319.5446258,176.687,876.8283951

51,164.96227142499998,106.99972,1.3586049999999998,206.73860499999998,-1.061,163.0
52,1008.957775,92.12433999999999,14.212784999999998,153.87689,-0.793,1237.288175

53,1510.7878812600002,272.6915044,25.8177045,481.3956,-6.248,363.8280968
54,5269.511353960001,185.6276716,13.0129636,481.3956,-0.715,2756.7768536000003

55,173.21866462300002,104.4979242,7.6914,217.923,0.0,168.5493396
56,520.69892104548,118.387738,20.685593,217.0684,-179.31,508.7493622

57,281.74204467425,197.5050435,12.040294,343.1307445,-9.36,278.5396405
58,838.13441849125,148.0416275,10.0394565,344.928107,177.086,831.6104640000001
